"Region","Division","District","BEIS School ID","School Name","Street Address","Municipality","Legislative District","Barangay","Sector","Urban/Rural","School Subclassification","Modified Curricural Offering Classification"
"Region I","Ilocos Norte","Bacarra I",100001,"Apaleng-Libtong ES","Brgy. 21, Libtong, Bacarra, Ilocos Norte","BACARRA","1st District","LIBTONG","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Bacarra I",100002,"Bacarra CES","Santa Rita","BACARRA","1st District","SANTA RITA (POB.)","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Bacarra I",100003,"Buyon ES","NONE","BACARRA","1st District","BUYON","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Bacarra I",100004,"Ganagan Elementary School","#37 Ganagan,Bacarra, Ilocos Norte","BACARRA","1st District","GANAGAN","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Bacarra I",100005,"Macupit ES","Macupit","BACARRA","1st District","MACUPIT","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Bacarra I",100006,"Nambaran ES","Brgy. 19 Nambaran","BACARRA","1st District","NAMBARAN","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Bacarra I",100007,"Pasiocan ES","Brgy 39, Bacarra, I.N.","BACARRA","1st District","PASIOCAN","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Bacarra I",100008,"Pulangi ES","-Brgy. 20, Pulangi","BACARRA","1st District","PULANGI","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Bacarra I",100009,"Sabas-Sagisi Memorial Elem. School","Brgy. 38, Sangil, Bacarra, Ilocos Norte","BACARRA","1st District","SANGIL","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Bacarra I",100010,"SPECIAL EDUCATION CENTER","RIZAL ST.","BACARRA","1st District","SANTA RITA (POB.)","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Bacarra I",100011,"Santo Cristo Elementary School","L. Acierto","BACARRA","1st District","SANTO CRISTO I (POB.)","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Bacarra I",100012,"Tambidao Elementary School","Brgy. 19-A, Tambidao, Bacarra, Ilocos Norte","BACARRA","1st District","TAMBIDAO","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Bacarra I",300002,"Bacarra NCHS","Torcuato Ver Street, Brgy. 1 Sta. Rita, Bacarra, Ilocos Norte","BACARRA","1st District","SANTA RITA (POB.)","Public","Partially Urban","DepED Managed","JHS with SHS"
"Region I","Ilocos Norte","Bacarra I",300007,"Cadaratan National High School","#30, Cadaratan, Bacarra, Ilocos Norte","BACARRA","1st District","CADARATAN","Public","Partially Urban","DepED Managed","JHS with SHS"
"Region I","Ilocos Norte","Bacarra I",400001,"St. Andrew Academy","Brgy. 1, Sta. Rita, Bacarra, Ilocos Norte","BACARRA","1st District","SANTA RITA (POB.)","Private","Partially Urban","Sectarian","JHS with SHS"
"Region I","Ilocos Norte","Bacarra I",400011,"Dingras Faith Academy, Inc.","Root Street, Brgy. Madamba, Dingras, Ilocos Norte","DINGRAS","2nd District","MADAMBA (POB.)","Private","Partially Urban","Non-Sectarian","ES and JHS (K to 10)"
"Region I","Ilocos Norte","Bacarra I",400014,"St. Gabriel Catholic School","Ayat, Poblacion, Nueva Era, Ilocos Norte","NUEVA ERA","2nd District","POBLACION","Private","Rural","Sectarian","Purely ES"
"Region I","Ilocos Norte","Bacarra I",400018,"St. James Academy of Pasuquin Ilocos Norte, Inc.","#2 Maharlika Hiway Poblacion, Pasuquin","PASUQUIN","1st District","POBLACION 2","Private","Partially Urban","Sectarian","All Offering (K to 12)"
"Region I","Ilocos Norte","Bacarra I",400021,"Pinili Institute","Brgy. 1, Valbuena, Pinili, Ilocos Norte","PINILI","2nd District","VALBUENA (POB.)","Private","Partially Urban","Non-Sectarian","JHS with SHS"
"Region I","Ilocos Norte","Bacarra I",400022,"Sta. Rosa Academy of San Nicolas Ilocos Norte, Inc.","National Road brgy.3 San Ilddefonso San Nicolas Ilocos Norte","SAN NICOLAS","2nd District","SAN ILDEFONSO (POB.)","Private","Partially Urban","Sectarian","All Offering (K to 12)"
"Region I","Ilocos Norte","Bacarra I",400025,"Saint Nicholas Academy of Vintar, Inc.","J.P. Rizal St., San Nicolas, Vintar, Ilocos Norte","VINTAR","1st District","SAN NICOLAS (POB.)","Private","Partially Urban","Sectarian","JHS with SHS"
"Region I","Ilocos Norte","Bacarra I",409824,"ALEJANDRO CADELINA CHRISTIAN ACADEMY, INC.","0027 ANDRES LAZO AVE. COR. WEYLER ST.","BACARRA","1st District","SAN SIMON I (POB.)","Private","Partially Urban","Non-Sectarian","Purely ES"
"Region I","Ilocos Norte","Bacarra I",410001,"The Riverdeep Academy, Inc.","National Highway, Cabusligan, Bacarra, Ilocos Norte","BACARRA","1st District","CABUSLIGAN","Private","Partially Urban","Non-Sectarian","Purely ES"
"Region I","Ilocos Norte","Bacarra I",410007,"St. Joseph Educational Center of Dingras, Inc","Poblacion National Road BRGY. MADAMBA DINGRAS","DINGRAS","2nd District","MADAMBA (POB.)","Private","Partially Urban","Sectarian","Purely ES"
"Region I","Ilocos Norte","Bacarra I",410017,"Vintar Accelerated Christian School Inc.","75 J. P.  Rizal Street, San Ramon, Vintar, Ilocos Norte","VINTAR","1st District","SAN RAMON (POB.)","Private","Partially Urban","Sectarian","Purely ES"
"Region I","Ilocos Norte","Bacarra I",410019,"St. Andrew Grade School","Brgy. 1, Sta. Rita, Bacarra, Ilocos Norte","BACARRA","1st District","SANTA RITA (POB.)","Private","Partially Urban","Sectarian","Purely ES"
"Region I","Ilocos Norte","Bacarra II",100013,"Bangsirit ES","28 Bangsirit,","BACARRA","1st District","CABUSLIGAN","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Bacarra II",100014,"Cabaruan ES","Brgy. 34 Cabaruan Bacarra, Ilocos Norte","BACARRA","1st District","CABARUAN","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Bacarra II",100015,"Cabulalaan ES","Provincial Road","BACARRA","1st District","CABULALAAN","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Bacarra II",100016,"Cadaratan ES","National Highway, Brgy 30 Bacarra, Ilocos Norte","BACARRA","1st District","CADARATAN","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Bacarra II",100017,"Calioet ES","none","BACARRA","1st District","CALIOET-LIBONG","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Bacarra II",100018,"Casilian ES","37-A","BACARRA","1st District","CASILIAN","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Bacarra II",100019,"Paninaan Elementary School","-","BACARRA","1st District","PANINAAN","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Bacarra II",100020,"Parang E/S","-","BACARRA","1st District","DURIPES","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Bacarra II",100021,"Pungto ES","27-A Pungto","BACARRA","1st District","PUNGTO","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Bacarra II",100022,"San Agustin ES","Brgy. 9 San Agustin II, Bacarra, Ilocos Norte","BACARRA","1st District","SAN AGUSTIN II (POB.)","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Bacarra II",100023,"Tubburan ES","n/a","BACARRA","1st District","TUBBURAN","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Bacarra II",150023,"Casilian Primary School - Taguipuro Annex","#37-A Casilian, Bacarra, Ilocos Norte","BACARRA","1st District","CASILIAN","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Badoc",100024,"Ar-Arusip ES","Ar-Arusip","BADOC","2nd District","AR-ARUSIP","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Badoc",100025,"Badoc North Central School","Lacuben","BADOC","2nd District","LACUBEN","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Badoc",100026,"Badoc South Central School SPED Center","Garreta (Pob), Badoc, Ilocos Norte","BADOC","2nd District","GARRETA (POB.)","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Badoc",100027,"Camanga ES","Camanga","BADOC","2nd District","CAMANGA","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Badoc",100029,"Gabut ES","Gabut Norte","BADOC","2nd District","GABUT NORTE","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Badoc",100030,"Labut ES","sitio centro","BADOC","2nd District","LABUT","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Badoc",100031,"Lasien School","Nagrebcan","BADOC","2nd District","NAPU","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Badoc",100032,"Mabusag-Napu ES","Mabusag Norte, Badoc, Ilocos Norte","BADOC","2nd District","MABUSAG NORTE","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Badoc",100033,"Madupayas ES","Madupayas","BADOC","2nd District","MADUPAYAS","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Badoc",100034,"Morong ES","Morong","BADOC","2nd District","MORONG","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Badoc",100035,"Nagrebcan ES","ALAY-NANGBABAAN (ALAY 15-B)","BADOC","2nd District","ALAY-NANGBABAAN (ALAY 15-B)","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Badoc",100036,"Pagsanahan Elementary School","Pagsanahan Sur","BADOC","2nd District","PAGSANAHAN SUR","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Badoc",100037,"Paltit ES","Paltit","BADOC","2nd District","PARANG","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Badoc",100038,"Pasuc-Parang ES","Luna","BADOC","2nd District","SANTA CRUZ NORTE","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Badoc",100039,"Saud ES","Saud, Badoc, Ilocos Norte","BADOC","2nd District","SAUD","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Badoc",100040,"Sta. Cruz ES","Sta Cruz Norte, Badoc, Ilocos Norte","BADOC","2nd District","SANTA CRUZ SUR","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Badoc",100041,"Turod ES","Turod, Badoc, Ilocos Norte","BADOC","2nd District","TUROD","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Badoc",100042,"Virgen Milagrosa ES","LA VIRGEN MILAGROSA (PAGUETPET), BADOC, ILOCOS NORTE","BADOC","2nd District","LA VIRGEN MILAGROSA (PAGUETPET)","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Badoc",150001,"Aring ES","4-B Aring","BADOC","2nd District","ARING","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Badoc",150002,"Mabusag Sur ES","Mabusar Sur","BADOC","2nd District","MABUSAG SUR","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Badoc",300021,"Nagrebcan NHS","Alay, Badoc, Ilocos Norte","BADOC","2nd District","ALAY-NANGBABAAN (ALAY 15-B)","Public","Partially Urban","DepED Managed","JHS with SHS"
"Region I","Ilocos Norte","Badoc",300023,"Pagsanahan NHS","5-A Pagsanahan","BADOC","2nd District","PAGSANAHAN NORTE","Public","Partially Urban","DepED Managed","JHS with SHS"
"Region I","Ilocos Norte","Badoc",400002,"Badoc Junior College, Inc.","Juan Luna Street, Bgy. Canaan (Pob.), Badoc, Ilocos Norte","BADOC","2nd District","CANAAN (POB.)","Private","Partially Urban","Non-Sectarian","JHS with SHS"
"Region I","Ilocos Norte","Badoc",400003,"IGAMA Colleges Foundation, Inc.","Brgy. Garreta, Badoc, Ilocos Norte","BADOC","2nd District","GARRETA (POB.)","Private","Partially Urban","Non-Sectarian","All Offering (K to 12)"
"Region I","Ilocos Norte","Badoc",400004,"Juan Luna Memorial Academy, Inc.","cor. Parson and Osmena Sts., Brgy. Alogoog, Badoc, Ilocos Norte","BADOC","2nd District","ALOGOOG","Private","Partially Urban","Non-Sectarian","JHS with SHS"
"Region I","Ilocos Norte","Badoc",400005,"St. Elizabeth Elementary School","02 Garreta, Badoc, Ilocos Norte","BADOC","2nd District","GARRETA (POB.)","Private","Partially Urban","Sectarian","Purely ES"
"Region I","Ilocos Norte","Badoc",410025,"Badoc Little Angels Learning Center, Inc.","Brgy. #1, Canaam, Badoc, Ilocos Norte","BADOC","2nd District","CANAAN (POB.)","Private","Partially Urban","Non-Sectarian","Purely ES"
"Region I","Ilocos Norte","Badoc",500000,"Caraitan Integrated School","Caraitan, Badoc, Ilocos Norte","BADOC","2nd District","CARAITAN","Public","Partially Urban","DepED Managed","All Offering (K to 12)"
"Region I","Ilocos Norte","Bangui",100043,"Abaca ES","None","BANGUI","1st District","ABACA","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Bangui",100044,"Alao-ao ES","Alao-ao","BANGUI","1st District","PAYAC","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Bangui",100045,"Bacsil ES","None","BANGUI","1st District","BACSIL","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Bangui",100046,"Banban Elementary School","Banban, Bangui","BANGUI","1st District","BANBAN","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Bangui",100047,"Bangui CES","Torres St.","BANGUI","1st District","SAN LORENZO (POB.)","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Bangui",100048,"Baruyen Elementary School","Baruyen, Bangui,I. Norte","BANGUI","1st District","BARUYEN","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Bangui",100049,"Dadaor ES","Brgy. Dadaor, Bangui, Ilocos Norte","BANGUI","1st District","DADAOR","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Bangui",100050,"Dumalneg ES","J. Raval St. Brgy. Kalaw, Dumalneg, Ilocos Norte","DUMALNEG","1st District","KALAW (DUMALNEG)","Public","Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Bangui",100051,"Lanao ES","N/A","BANGUI","1st District","LANAO","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Bangui",100052,"Masikil ES","National Road","BANGUI","1st District","MASIKIL","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Bangui",100053,"Nagbalagan ES","None","BANGUI","1st District","NAGBALAGAN","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Bangui",100054,"Paddagan ES","None","BANGUI","1st District","PAYAC","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Bangui",100055,"San Isidro Elementary School","Laguerta","DUMALNEG","1st District","SAN ISIDRO","Public","Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Bangui",100056,"Suyo ES","Baruyen","BANGUI","1st District","BARUYEN","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Bangui",100057,"Taguipuro ES","Taguipuro","BANGUI","1st District","TAGUIPORO","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Bangui",300003,"Bangui NHS","Alfredo Garvida St.","BANGUI","1st District","SAN LORENZO (POB.)","Public","Partially Urban","DepED Managed","JHS with SHS"
"Region I","Ilocos Norte","Bangui",300017,"Dumalneg NHS","Purok Regta","DUMALNEG","1st District","QUIBEL (DUMALNEG)","Public","Urban","DepED Managed","JHS with SHS"
"Region I","Ilocos Norte","Bangui",320801,"BANBAN NHS","-","BANGUI","1st District","BANBAN","Public","Partially Urban","DepED Managed","JHS with SHS"
"Region I","Ilocos Norte","Bangui",320802,"LANAO NATIONAL HIGH SCHOOL","Provincial Rd,, Lanao, Bangui, ILocos Norte","BANGUI","1st District","LANAO","Public","Partially Urban","DepED Managed","JHS with SHS"
"Region I","Ilocos Norte","Bangui",400006,"St. Lawrence the Deacon Academy of Bangui, Ilocos Norte, Inc.","A. Acoba, Brgy. San Lorenzo, Bangui, Ilocos Norte","BANGUI","1st District","SAN LORENZO (POB.)","Private","Partially Urban","Sectarian","JHS with SHS"
"Region I","Ilocos Norte","Bangui",410002,"UCCP-Nursery & Kindergarten School","7 Baruyen, Bangui, Ilocos Norte","BANGUI","1st District","BARUYEN","Private","Partially Urban","Sectarian","Purely ES"
"Region I","Ilocos Norte","Banna (Espirit",100058,"Bangsar ES","Bangsar","BANNA (ESPIRITU)","2nd District","BANGSAR","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Banna (Espirit",100059,"Banna Central Elementary School","P. Gomez, Marcos, Banna, Ilocos Norte","BANNA (ESPIRITU)","2nd District","MARCOS (POB.)","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Banna (Espirit",100060,"Barbarangay ES","Barbarangay","BANNA (ESPIRITU)","2nd District","BARBARANGAY","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Banna (Espirit",100061,"Bomitog ES","Banna - Pinili Rd.","BANNA (ESPIRITU)","2nd District","BOMITOG","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Banna (Espirit",100062,"Bugasi ES","Bugasi","BANNA (ESPIRITU)","2nd District","BUGASI","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Banna (Espirit",100063,"Caestebanan ES","Caestebanan","BANNA (ESPIRITU)","2nd District","CAESTEBANAN","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Banna (Espirit",100064,"Caribquib ES","Brgy. #18, Caribquib","BANNA (ESPIRITU)","2nd District","CARIBQUIB","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Banna (Espirit",100065,"Catagtaguen ES","Brgy. 11 Catagtaguen, Banna, Ilocos Norte","BANNA (ESPIRITU)","2nd District","CATAGTAGUEN","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Banna (Espirit",100066,"Crispina ES","-#20 Crispina Banna, Ilocos Norte","BANNA (ESPIRITU)","2nd District","CRISPINA","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Banna (Espirit",100067,"Imelda ES","Imelda","BANNA (ESPIRITU)","2nd District","IMELDA","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Banna (Espirit",100068,"Lading ES","Brgy. 12, Balioeg","BANNA (ESPIRITU)","2nd District","BALIOEG","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Banna (Espirit",100069,"Macayepyep ES","Macayepyep","BANNA (ESPIRITU)","2nd District","MACAYEPYEP","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Banna (Espirit",100070,"Nagpatayan ES","National Highway, Centro Nagpatayan","BANNA (ESPIRITU)","2nd District","NAGPATAYAN","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Banna (Espirit",100071,"Quiaoit Memorial ES","Binacag","BANNA (ESPIRITU)","2nd District","BINACAG","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Banna (Espirit",100072,"Sinamar ES","Sinamar","BANNA (ESPIRITU)","2nd District","SINAMAR","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Banna (Espirit",100073,"Tabtabagan Elementary School","Tabtabagan Road","BANNA (ESPIRITU)","2nd District","TABTABAGAN","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Banna (Espirit",100074,"VALDEZ ELEMENTARY SCHOOL","Valdez, Banna, Ilocos Norte","BANNA (ESPIRITU)","2nd District","VALDEZ","Public","Partially Urban","DepED Managed","Purely ES"
"Region I","Ilocos Norte","Banna (Espirit",300004,"Banna National High School","Zamora St., Banna, Ilocos Norte","BANNA (ESPIRITU)","2nd District","LORENZO (POB.)","Public","Partially Urban","DepED Managed","JHS with SHS"
